UNIT ID,MAIN WC,TAG,EW_(mm),NS_(mm),EL_(mm)
UNIT 11,STRUCTURES,011-STR-100,2106163.341420118,1008673.2575443788,113444.16834319527
UNIT 11,STRUCTURES,011-STR-200,2086534.0890652558,994102.2433862434,105466.22310405644
UNIT 12,PIPE RACKS,012-PR-100,2260591.2876588022,884481.9954627949,107366.50998185118
UNIT 12,STRUCTURES,012-STR-100,2287425.437730235,922373.0274511193,118443.20246528761
UNIT 21,PIPE RACKS,021-PR-100,2009092.5305695143,877114.9221943049,113620.23082077052
UNIT 21,PIPE RACKS,021-PR-200,2028855.696519959,764951.526100307,111833.94370522007
UNIT 21,PIPE RACKS,021-PR-300,2105160.096934175,898931.1023444545,110686.13165013526
UNIT 21,PIPE RACKS,021-PR-400,1993682.5165198238,782130.7191629956,113273.99559471366
UNIT 21,PIPE RACKS,021-PR-500,1960877.0295454545,811822.4536363636,108603.93045454545
UNIT 21,STRUCTURES,021-SHT-100,1952897.2848932676,840826.467364532,111535.08087027914
UNIT 21,STRUCTURES,021-SHT-200,2022306.5,750958.9852941176,103705.25
UNIT 21,STRUCTURES,021-SHT-400,1970871.111111111,775354.6111111111,102445.55555555556
UNIT 21,STRUCTURES,021-STR-100,2004242.0554586106,921227.5858326971,126800.5314101865
UNIT 21,STRUCTURES,021-STR-1000,2030430.2189189189,884188.6702702703,102618.94594594595
UNIT 21,STRUCTURES,021-STR-1100,1989032.1950464395,792590.9373065016,106901.66486068112
UNIT 21,STRUCTURES,021-STR-1200,2093064.0293606336,850143.4829051574,127710.18785010625
UNIT 21,STRUCTURES,021-STR-1300,2038381.7312030075,899591.947368421,111443.3552631579
UNIT 21,STRUCTURES,021-STR-1400,2079749.9671843688,865021.4924849699,110034.18787575151
UNIT 21,STRUCTURES,021-STR-200,2063130.1711963266,912044.242740134,121760.85188632415
UNIT 21,STRUCTURES,021-STR-300,2020638.9199617957,844508.6691499522,115442.5676217765
UNIT 21,STRUCTURES,021-STR-400,2003946.5943693693,808304.0247747748,109510.4367117117
UNIT 21,STRUCTURES,021-STR-500,2032300.0664652567,869089.2133685801,110876.36178247734
UNIT 21,STRUCTURES,021-STR-600,2006792.0874704493,949656.840425532,105458.17888100867
UNIT 21,STRUCTURES,021-STR-700,1982600.7024825446,861179.4957331264,110463.90535298681
UNIT 21,STRUCTURES,021-STR-800,1935200.6800862688,797285.6570812365,111182.42631200576
UNIT 21,STRUCTURES,021-STR-900,1987342.5089777005,888608.6940341732,119474.93788010426
UNIT 42,PIPE RACKS,042-PR-100,2169874.9694323144,921865.7772925764,103952.48034934497
UNIT 42,PIPE RACKS,042-PR-200,2214146.98,972394.4733333334,102761
UNIT 42,PIPE RACKS,042-PR-300,2238552.7066666665,1021124.48,102761
UNIT 53,PIPE RACKS,053-PR-100,2239036.9501788453,829374.6974961676,112740.67654573327
UNIT 53,PIPE RACKS,053-PR-200,2198406,779010.3,101930
UNIT 53,STRUCTURES,053-SHT-100,2225611.512987013,763256.4805194805,104498.83116883117
UNIT 53,STRUCTURES,053-SHT-200,2208959.976744186,794876.3372093023,103545.05813953489
UNIT 53,STRUCTURES,053-STR-100,2258495.825284091,832586.9488636364,105845.85227272728
UNIT 53,STRUCTURES,053-STR-200,2230851.945945946,839359.1542792793,104769.95945945945
UNIT 53,STRUCTURES,053-STR-300,2231963.625,831759.125,101068.33333333333
UNIT 57,PIPE RACK,057-PR-100,2038571.6440298508,999925.8223880597,108350.37089552238
UNIT 57,PIPE RACK,057-PR-200,2086362.780487805,1039887.1219512195,105808.12195121951
UNIT 57,STRUCTURES,057-STR-100,2055812.6051220167,1019537.0050951998,124556.97465808528
UNIT 57,STRUCTURES,057-STR-200,2061060.1984615384,1031206.9892307692,106818.14461538462
UNIT 62,STRUCTURES,062-SHT-100,2336988.6363636362,867615.7272727273,104071.93939393939
UNIT 62,STRUCTURES,062-STR-100,2329664.6563706566,854840.1332046333,104347.89575289575
UNIT 62,STRUCTURES,062-STR-200,2349952.7085253457,915184.715437788,108725.96774193548
UNIT 67,STRUCTURES,067-PLT-100,1903722.7935323382,912521.7288557214,104076.25373134328
UNIT 67,STRUCTURES,067-PLT-200,1899317.7627118644,917704.406779661,101427.77966101695
UNIT 67,STRUCTURES,067-PLT-300,1898499.73,909881.91,102282.58
UNIT 67,STRUCTURES,067-PLT-400,1904131.9142857143,921109.9,103780.1
UNIT 67,STRUCTURES,067-PLT-500,1915606.3793969848,935885.5527638191,104032.49748743718
UNIT 67,STRUCTURES,067-PLT-600,1908662.5818181818,935991.8,101302.16363636364
UNIT 67,STRUCTURES,067-PLT-700,1914183.04,941480.76,102282.58
UNIT 67,STRUCTURES,067-PLT-800,1908963.0142857144,930093.5214285714,103780.1
UNIT 67,PIPE RACK,067-PR-100,1908122,926767.4443609023,105743.56842105264
UNIT 81,PIPE RACK,081-PR-100,2133601.75331565,920340.6684350133,110238.1074270557
UNIT 11,PIPE RACKS,081-PR-200,2069399.2775217614,997045.5865335382,113379.11418330773
UNIT 81,PIPE RACK,081-PR-300,2280861.5676410603,847283.6264445955,110624.43575798777
UNIT 81,PIPE RACK,081-PR-400,1998730.8419203747,967061.399882904,108737.27166276347
UNIT 81,PIPE RACK,081-PR-500,2369913.374233129,785666.027607362,106168.25766871165
UNIT 81,PIPE RACK,081-PR-600,2483912.972477064,718826.9346330275,104826.25802752294
UNIT 86,PIPE RACKS,086-PR-100,2311743.9120171675,760130.2553648069,105497.69957081546
UNIT 86,STRUCTURES,086-SHT-100,2354816.83998006,740403.7662013958,108157.86041874377
